Station,Location,Country,Capacity (MW),Fuel Type,Type,Year,Status,Sponsor/Owner,Note
TTC Ham Phu II,Binh Thuan,Vietnam,49,Solar,Renewable,12/4/2019,,GEC/TTC,
Da Mi Floating(VN version),Binh Thuan,Vietnam,47.5,Solar,Renewable,13/5/2019,,DHD - Da Nhim Hydropower Plant - Ham Thuan - Da Mi (EVNGENCO 1),
Sao Mai Solar PV1(VN version) Phase 1&2,An Giang,Vietnam,104,Solar,Renewable,6/7/2019,,Sao Mai Group,
Mui Ne(VN version),Binh Thuan,Vietnam,40,Solar,Renewable,4/6/2019,,Duc Thanh Mui Ne JSC (Pacifico Energy + Duc Long Gia Lai),"EPC: TTCL Vietnam LLC, Battery of Jinko solar. TVGS is Mott Macdonald"
Ha Do (Hong Phong 4)(VN version),Binh Thuan,Vietnam,48,Solar,Renewable,30/5/2019,,Ha Do Group (HDG),"Sunpower panels, Inverter SMA, Transformer ABB, Tractebel: OE"
LIG Quang Tri (VN version),Quang Tri,Vietnam,49.5,Solar,Renewable,22/5/2019,,LICOGI 13 JSC,
Hong Phong 1A,Binh Thuan,Vietnam,195,Solar,Renewable,,,Vietracimex,Sinohydro Corporation Limited belongs to Power Chi Group
Hong Phong 1B,Binh Thuan,Vietnam,130,Solar,Renewable,,,Vietracimex,Sinohydro Corporation Limited belongs to Power Chi Group
Cu Jut solar power (VN version),Dak Nong,Vietnam,62,Solar,Renewable,20/4/2019,,Mien Trung Hydropower JSC (CHP),
Nhi Ha - Thuan Nam 13 (VN version),Ninh Thuan,Vietnam,50,Solar,Renewable,Jun-19,,Sijar Power Ninh Thuan One Member LLC,
CMX Renewable Energy Vietnam,Ninh Thuan,Vietnam,168,Solar,Renewable,18/6/2019,,CMX Re Sunseap Vietnam,"JV: Sunseap, InfraCo Asia and CMX Renewable Energy Canada Inc"
Thuan Nam 19(VN version),Ninh Thuan,Vietnam,61.1,Solar,Renewable,24/6/2019,,Tasco Energy,EPC: Risen Energy. Risen holds 70% equity
"Ninh Phuoc 6.1, 6.2",Ninh Thuan,Vietnam,58.3,Solar,Renewable,Jun-19,,NITSA (Ninh Thuan Renewable Energy & Agriculture JSC),EPC: EVNPECC2
Cat Hiep(VN version),Binh Dinh,Vietnam,49.5,Solar,Renewable,6/6/2019,,Truong Thanh (TTVN Group),Powerway Mounting system. EPC: Juwi. JV: Quadran International (owned by Lucia Holding – France Republic);
Phuoc Huu - Nha Trang Bay (VN version),Ninh Thuan,Vietnam,65,Solar,Renewable,20/6/2019,,Nha Trang bay Investment JSC,"Module:JA Solar, Inverter:SMA, Mounting:Schletter Solar Mounting Group, Transformers:Siemens"
Song Luy 1 (VN version),Binh Thuan,Vietnam,46.7,Solar,Renewable,May-19,,Binh Thuan Optoelectronics Investment JSC,"Design consultant Sigma Energy (Spain) - Electrical Consultant 4 (Vietnam), Supervision Consultant Tractebel (Belgium). Equipment suppliers are ABB (Sweden), TMEIC (Japan), JA Solar (China); Contractor of construction and installation PowerChina (China) -AIT (Vietnam). The project also has credit support by SHB bank."
SP – Infra Ninh Thuan(VN version),Ninh Thuan,Vietnam,50,Solar,Renewable,Oct-18,,Surya Prakash Energy Ltd. Vietnam,
Bau Ngu Lake (VN version),Ninh Thuan,Vietnam,45.8,Solar,Renewable,Jun-19,,Truong Thanh Investment and Construction JSC,OCA: transformer
Gelex Ninh Thuan(VN version),Ninh Thuan,Vietnam,50,Solar,Renewable,2/7/2019,,Gelex Ninh Thuan Energy JSC,
Xuan Tho 1(VN version),Phu Yen,Vietnam,49.6,Solar,Renewable,27/6/2019,,Phu Khanh Solar JSC,
Xuan Tho 2(VN version),Phu Yen,Vietnam,49.6,Solar,Renewable,27/6/2019,,Phu Khanh Solar JSC,
BCG Bang Duong/BCG-CME Long An 1(VN version),Long An,Vietnam,40.6,Solar,Renewable,23/6/2019,,Bamboo Capital Group,
Cam Lam VN,Khanh Hoa,Vietnam,49.6,Solar,Renewable,25/6/2019,,Cam Lam Solar Ltd.,Equity: Golf Long Thanh
KN Cam Lam,Khanh Hoa,Vietnam,49.5,Solar,Renewable,25/6/2019,,Cam Lam Solar Ltd.,Equity: Golf Long Thanh
Hoa Hoi (VN version),Phu Yen,Vietnam,257,Solar,Renewable,10/6/2019,,B.Grimm Phu Yen + Truong Thanh Vietnam Group JSC (TTVN),
Truc Son,Dak Nong,Vietnam,44.4,Solar,Renewable,14/6/2019,,GEC/TTC,
Phong Phu,Binh Thuan,Vietnam,42,Solar,Renewable,27/4/2019,,Solarcom,
BMT Solar farm Dak Lak (VN version),Dak Lak,Vietnam,30,Solar,Renewable,25/4/2019,,AMI and AC Energy,EPC general contractor unit (cooperation between Malaysia ERS Company and Vietnam IPC Group)
Jang Pong Solar farm Dak Lak (phase 1),Dak Lak,Vietnam,10,Solar,Renewable,9/5/2019,,Cao Nguyen IE JSC,"The plant is connected to the 35kVA grid, after going into operation, the commercial electricity supply will provide 17.5 million kWh of electricity per year."
Mo Duc (Duc Minh) solar farm (VN version),Quang Ngai,Vietnam,19,Solar,Renewable,26/4/2019,,Thien Tan Group,FTC Solar Tracking
Binh Nguyen solar farm (VN version),Quang Ngai,Vietnam,49.6,Solar,Renewable,4/6/2019,,Truong Thanh Quang Ngai High Technology and Energy JSC,General contractors are Sharp Corporation (Japan) and Hawee Construction and Industry JSC (Vietnam). Truong Thanh Quang Ngai High Technology and Energy JSC was established by Vietnam Joint Venture Group and Sermsang Power Corporation (Kingdom of Thailand).
AMI Khanh Hoa,Khanh Hoa,Vietnam,49.9,Solar,Renewable,30/5/2019,,AMI Khanh Hoa Energy JSC,
Song Giang (VN version),Khanh Hoa,Vietnam,50,Solar,Renewable,8/5/2019,,Song Giang Solar Power JSC,
Nhi Ha Bitexco phase I,Ninh Thuan,Vietnam,50,Solar,Renewable,,,Bitexco Group (Solar Power Ninh Thuan LLC),EPC: Risen Energy
Chu Ngoc - EVNLICOGI 16,Gia Lai,Vietnam,15,Solar,Renewable,28/5/2019,,LICOGI 16 Gia Lai Renewable Energy Investment JSC,
Vinh Hao solar farm,Binh Thuan,Vietnam,34.2,Solar,Renewable,,,Vinh Hao Solar Power JSC,
Vinh Hao 4 solar farm,Binh Thuan,Vietnam,39,Solar,Renewable,,,Quynh Quang Real Estate Company,
Vinh Hao 6 solar farm (VN version),Binh Thuan,Vietnam,50,Solar,Renewable,18/6/2019,,FECON,
Van Giao 2 solar power,An Giang,Vietnam,50,Solar,Renewable,,,Van Giao Solar Energy JSC,"TrinaSolar. 0.38 / 22kV pressure lifting station, 22kV medium voltage cable and working road to each solar array; operator area; 22kV distribution area, 22 / 110kV pressure lifting station. 110 kV transmission line of solar power plant Van Giao - Tinh Bien connected to Van Giao 2 solar power plant into 110 kV Tinh Bien substation. Powerchina Zhongnan Corporation Limited (China) is the EPC general contractor"
Van Giao 1 solar power,An Giang,Vietnam,50,Solar,Renewable,,,Van Giao Solar Energy JSC,"TrinaSolar. 0.38 / 22kV pressure lifting station, 22kV medium voltage cable and working road to each solar array; operator area; 22kV distribution area, 22 / 110kV pressure lifting station. 110 kV transmission line of solar power plant Van Giao - Tinh Bien connected to Van Giao 2 solar power plant into 110 kV Tinh Bien substation. Powerchina Zhongnan Corporation Limited (China) is the EPC general contractor"
Solar Park 01,Long An,Vietnam,50,Solar,Renewable,,,Hoan Cau,
Solar Park 02,Long An,Vietnam,50,Solar,Renewable,,,Hoan Cau,
Cam Hoa solar farm (VN version),Ha Tinh,Vietnam,50,Solar,Renewable,1/7/2019,,Hoanh Son Group JSC,
Eco Seido Tuy Phong,Binh Thuan,Vietnam,51,Solar,Renewable,12/6/2019,,Green Energy LLC,
TTC Duc Hue 1(VN version),Long An,Vietnam,49,Solar,Renewable,,,GEG/TTC,
Trung Nam Ninh Thuan solar power (VN version),Ninh Thuan,Vietnam,258,Solar,Renewable,2019,,Trung Nam JSC,Siemens Inverter
Da Bac solar power,Ba Ria-Vung Tau,Vietnam,61,Solar,Renewable,2019,,Tai Tien Limited Liability Company,
Da Bac 2 solar power,Ba Ria-Vung Tau,Vietnam,61,Solar,Renewable,2019,,Tai Tien Limited Liability Company,
Da Bac 3 solar power,Ba Ria-Vung Tau,Vietnam,50,Solar,Renewable,2019,,Green HC Limited Liability Company,
Da Bac 4 solar power,Ba Ria-Vung Tau,Vietnam,50,Solar,Renewable,2019,,Dong A Chau Duc JSC,
"Dau Tieng 1, 2 (VN version)",Tay Ninh,Vietnam,420,Solar,Renewable,2019,,B. Grimm Power + Xuan Cau LLC,"EPC:Power Huadong Engineering, PCC1 and PECC2: Substation"
Dau Tieng 3 (VN version),Tay Ninh,Vietnam,72,Solar,Renewable,2019,,B. Grimm Power + Xuan Cau LLC,"EPC:Power Huadong Engineering, PCC1 and PECC2: Substation"
VSP Binh Thuan II,Binh Thuan,Vietnam,33.1,Solar,Renewable,,,VSP Binh Thuan JSC,
Binh Hoa,,Vietnam,12,Solar,Renewable,,,,
Dien Luc Mien Trung,,Vietnam,10,Solar,Renewable,,,,
Ham Kiem,,Vietnam,49,Solar,Renewable,,,,
KCN Chau Duc,,Vietnam,70,Solar,Renewable,,,,
Thuan Minh 2,,Vietnam,50,Solar,Renewable,,,,
Thinh Long - AAA Phu Yen,,Vietnam,50,Solar,Renewable,,,,
Tuan An,,Vietnam,11.7,Solar,Renewable,,,,
Fujiwara Binh Dinh(VN version),Binh Dinh,Vietnam,50,Solar,Renewable,,,Fujiwara Binh Dinh Ltd.,
Tuy Phong (VN version),Binh Thuan,Vietnam,39,Solar,Renewable,,,Power Plus Vietnam LLC,
EuroPlast Long An (VN version),Long An,Vietnam,50,Solar,Renewable,,,Sao Mai (85%)+EU Plastics,
EuroPlast Phu Yen,Phu Yen,Vietnam,50,Solar,Renewable,,,EU Plastics,
Bach Khoa A Chau 1,Tay Ninh,Vietnam,30,Solar,Renewable,,,Tay Ninh Bach Khoa A Chau JSC,
Tri Viet 1,Tay Ninh,Vietnam,30,Solar,Renewable,,,Tri Viet Tay Ninh JSC,
HCG (VN version),Tay Ninh,Vietnam,50,Solar,Renewable,,,"Hoang Thai Gia Trust and Investment Management LLC, HCG Tay Ninh solar power JSC",This project was initiated and developed by Hai Dang JSC and is invested by Reonyuan Power Singapore
HTG (VN version),Tay Ninh,Vietnam,50,Solar,Renewable,,,"Hoang Thai Gia Trust and Investment Management LLC, HCG Tay Ninh solar power JSC",This project was initiated and developed by Hai Dang JSC and is invested by Reonyuan Power Singapore
Phan Lam 1 solar power (VN version),Binh Thuan,Vietnam,36.7,Solar,Renewable,,,Nam Viet Phan Lam Company is a joint venture with Thailand's Super Energy Corporation,
Trung Nam Tra Vinh solar power(VN version),Tra Vinh,Vietnam,165,Solar,Renewable,,,Trungnam Tra Vinh Solar Power,
Binh An (VN version),Binh Thuan,Vietnam,50,Solar,Renewable,,,Everich Binh Thuan Energy LLC,
Phuoc Huu - Dien luc 1(VN version),Ninh Thuan,Vietnam,30.2,Solar,Renewable,9/5/2019,,Phuoc Huu Power JSC,
My Son - Hoan Loc Viet,Ninh Thuan,Vietnam,50,Solar,Renewable,,,My Son - Hoan Loc Viet Solar JSC,
Sơn My 3.1,Binh Thuan,Vietnam,50,Solar,Renewable,,,"Son My Renewable Energy JSC, EVNPECC2",
Tuy Phong Phase 1 (VN version),Binh Thuan,Vietnam,30,Wind,Renewable,1/5/2011,,REVN - Vietnam Renewable Energy JSC,Fuhrländer turbines
Phu Lac wind farm (VN version),Binh Thuan,Vietnam,24,Wind,Renewable,19/9/2016,,EVN - Thuan Binh Wind Power,"funded by KfW, 12x2MW Vestas turbines"
Mui Dinh (VN version),Ninh Thuan,Vietnam,37.6,Wind,Renewable,1/1/2019,,EAB - Germany,Enercon turbines E-103 EP02 2.35MW. First turbine erected in August/2018
Phu Quy (VN version),Binh Thuan,Vietnam,6,Wind,Renewable,1/12/2012,,PV Power,Vestas turbines 3x2MW
"Bac Lieu (phase I, II) (VN version)",Bac Lieu,Vietnam,99.2,Wind,Renewable,1/1/2016,,Construction-Trade-Tourism Ltd.,62 x 16 GE (1.6-82.5) turbines
Dam Nai (phase I) (VN version),Ninh Thuan,Vietnam,7.8,Wind,Renewable,22/9/2017,,Blue Circle +TSV Vietnam,"16x 2,625 MW Gamesa turbines.Phase 1: TC 22kV Ninh Hai station"
Dam Nai (phase II) (VN version),Ninh Thuan,Vietnam,30,Wind,Renewable,8/9/2018,,Blue Circle +TSV Vietnam,"Phase 2: transit 110kV Thap Cham - Ninh Hai (AC300, 0.9 km)"
Huong Linh 2 (VN version),Quang Tri,Vietnam,30,Wind,Renewable,30/4/2017,,Tan Hoan Cau Group,15x2 MW Vestas turbines
Trung Nam Ninh Thuan phase 1,Ninh Thuan,Vietnam,39.95,Wind,Renewable,27/4/2019,,Trungnam Wind Power JSC,"ENERCON turbines, Siemens Inverter"
Nexif Energy Ben Tre Wind Power Plant,Ben Tre,Vietnam,80,Wind,Renewable,,,"EVNEPTC, Nexif Energy (Singapore)",Nexif Energy signs 30 MW PPA with Electric Power Trading Company (EPTC) for first phase of wind farm in Ben Tre Province.
KCP - Phu Yen Phase 1,Phu Yen,Vietnam,30,Bagasse,Non-renewable,2017,,Son Duong Sugar and Sugarcane JSC,
Tuyen Quang,Tuyen Quang,Vietnam,25,Bagasse,Non-renewable,2019,,KCP Vietnam Industries LLD,
An Khe,Gia Lai,Vietnam,110,Bagasse,Non-renewable,2017,,Quang Ngai Sugar JSC,
Go Cat,Ho Chi Minh City,Vietnam,2.5,MSW,Non-renewable,2017,,"Hydraulic and Machine Co., Ltd",
Can Tho,Can Tho,Vietnam,7.5,MSW,Non-renewable,2018,,EB Can Tho Environmental Energy LLC & China Everbright International Corporation,
Nam Son,Hanoi,Vietnam,2,MSW,Non-renewable,2017,,Urban Environment Company (URENCO) & Hitachi Zosen Company - Japan,
Sugar mills,,Vietnam,150,,Non-renewable,,,,
Sơn La Dam,Mường La,Vietnam,2400,Hydroelectric,Renewable,,,Son La Hydropower Company/EVN,
Lai Chau,,Vietnam,1200,Hydroelectric,Renewable,,,Son La Hydropower Company/EVN,
"Lai Chau #2, 3",,Vietnam,800,Hydroelectric,Renewable,2016,,EVN,
Ban Chat,,Vietnam,220,Hydroelectric,Renewable,,,Huoi Quang-Ban Chat hydropower company/EVN,
Huoi Quang,,Vietnam,520,Hydroelectric,Renewable,,,Huoi Quang-Ban Chat hydropower company/EVN,
Huoi Quang #2,,Vietnam,260,Hydroelectric,Renewable,2016,,EVN,
Hoa Binh,,Vietnam,1960,Hydroelectric,Renewable,,,Hoa Binh Hydropower Company/EVN,
Tuyen Quang,,Vietnam,342,Hydroelectric,Renewable,,,Tuyen Quang Hydropower Company/EVN,
Pleikrong,,Vietnam,100,Hydroelectric,Renewable,,,Ialy Hydropower Company/EVN,
Ialy,,Vietnam,720,Hydroelectric,Renewable,,,Ialy Hydropower Company/EVN,
Se San 3,,Vietnam,260,Hydroelectric,Renewable,,,Ialy Hydropower Company/EVN,
Se San 4,,Vietnam,360,Hydroelectric,Renewable,,,Se San Hydropower Development Company/EVN,
Tri An,,Vietnam,400,Hydroelectric,Renewable,,,Tri An Hydropower Company/EVN,
Thac Mo expansion,,Vietnam,75,Hydroelectric,Renewable,2017,,Thac Mo expansion hydropower plant project/EVN,
Ban Ve,,Vietnam,320,Hydroelectric,Renewable,,,Ban Ve Hydropower Company/EVNGENCO 1,
Khe Bo,,Vietnam,100,Hydroelectric,Renewable,,,Khe Bo Hydropower Company/EVNGENCO 1,
Trung Son,,Vietnam,260,Hydroelectric,Renewable,2017,,Trung Son Hydropower One Member LLC/EVNGENCO 2,
Quang Tri,,Vietnam,64,Hydroelectric,Renewable,,,Quang Tri Hydropower Company/EVNGENCO 2,
A Vuong,,Vietnam,210,Hydroelectric,Renewable,,,A Vuong Hydropower JSC/EVNGENCO 2,
Buon Tua Srah,,Vietnam,86,Hydroelectric,Renewable,,,Buon Kuop Hydropower Company/EVNGENCO 3,
Buon Kuop,,Vietnam,280,Hydroelectric,Renewable,,,Buon Kuop Hydropower Company/EVNGENCO 3,
Srepok 3,,Vietnam,220,Hydroelectric,Renewable,,,Buon Kuop Hydropower Company/EVNGENCO 3,
Song Tranh 2,,Vietnam,190,Hydroelectric,Renewable,,,Song Tranh Hydropower Company/EVNGENCO 1,
An Khe,,Vietnam,160,Hydroelectric,Renewable,,,Song Ba Ha Hydropower JSC/EVNGENCO 2,
Song Ba Ha,,Vietnam,220,Hydroelectric,Renewable,,,Song Bung Hydropower Company/EVNGENCO 2,
Bung River 2,,Vietnam,100,Hydroelectric,Renewable,2018,,EVNGENCO 2,
Song Bung 4,,Vietnam,156,Hydroelectric,Renewable,,,Dong Nai Hydropower Company/EVNGENCO 2,
Dong Nai 3,,Vietnam,180,Hydroelectric,Renewable,,,Dong Nai Hydropower Company/EVNGENCO 1,
Dong Nai 4,,Vietnam,340,Hydroelectric,Renewable,,,Thac Mo Hydropower JSC/EVNGENCO 1,
Thac Mo,,Vietnam,150,Hydroelectric,Renewable,,,Da Nhim-Ham Thuan-Da Mi Hydropower JSC/EVNGENCO 2,
Da Nhim,,Vietnam,160,Hydroelectric,Renewable,,,Da Nhim-Ham Thuan-Da Mi Hydropower JSC/EVNGENCO 1,
Da Nhim expansion,,Vietnam,80,Hydroelectric,Renewable,2019,,Da Nhim-Ham Thuan-Da Mi Hydropower JSC/EVNGENCO 1,
Thuong Kon Tum,,Vietnam,220,Hydroelectric,Renewable,2019,,EVN,
Ham Thuan,,Vietnam,300,Hydroelectric,Renewable,,,Da Nhim-Ham Thuan-Da Mi Hydropower JSC/EVNGENCO 1,
Da Mi,,Vietnam,175,Hydroelectric,Renewable,,,Dai Ninh Hydropower Company/EVNGENCO 1,
Dai Ninh,,Vietnam,300,Hydroelectric,Renewable,,,Hoang Anh-Gia Lai Hydropower JSC (Bitexco)/EVNGENCO 1,
Ba Thuoc 1,,Vietnam,60,Hydroelectric,Renewable,,,Hoang Anh-Gia Lai Hydropower JSC (Bitexco),
Ba Thuoc 2,,Vietnam,80,Hydroelectric,Renewable,,,Bac Ha Hydropower JSC,
Bac Ha,,Vietnam,90,Hydroelectric,Renewable,,,IPP,
Bac Me,,Vietnam,45,Hydroelectric,Renewable,,,Construction Commercial Joint Stock Corporation (Vietracimex),
Bao Lam 3,,Vietnam,50.6,Hydroelectric,Renewable,,,Power Construction JSC No1 (PCC1),
Chiem Hoa,,Vietnam,48,Hydroelectric,Renewable,,,International Investment Construction and Trade JSC (ICT),
Chi Khe,,Vietnam,41,Hydroelectric,Renewable,,,Agrita Nghe Tinh energy JSC,
Cua Dat,,Vietnam,97,Hydroelectric,Renewable,,,Vinaconex P&C JSC,
Hua Na,,Vietnam,180,Hydroelectric,Renewable,,,Hua Na Hydropower JSC/PVN,
Huong Son,,Vietnam,33,Hydroelectric,Renewable,,,Huong Son Hydropower JSC,
Muong Hum,,Vietnam,32,Hydroelectric,Renewable,,,Muong Hum Hydropower JSC,
Nam Chien 1,,Vietnam,200,Hydroelectric,Renewable,,,Nam Chien Hydropower JSC,
Nam Chien 2,,Vietnam,32,Hydroelectric,Renewable,,,North-west Electric Investment And Development JSC,
Nam Cun,,Vietnam,40,Hydroelectric,Renewable,,,299 Construction and Trading JSC,
Nam Muc,,Vietnam,44,Hydroelectric,Renewable,,,Nam Muc Hydropower JSC (Bitexco),
Nam Na 2,,Vietnam,66,Hydroelectric,Renewable,,,Hung Hai Construction LLC,
Nam Na 3,,Vietnam,84,Hydroelectric,Renewable,,,Hung Hai Construction LLC,
Nam Phang,,Vietnam,36,Hydroelectric,Renewable,,,Bac Ha Energy JSC,
Nam Toong,,Vietnam,34,Hydroelectric,Renewable,,,Sapa Hydropower One Member LLC,
Ngoi Hut 2,,Vietnam,48,Hydroelectric,Renewable,,,Truong Thanh Construction and Development Investment JSC,
Ngoi Hut 2A,,Vietnam,8.4,Hydroelectric,Renewable,,,Truong Thanh Construction and Development Investment JSC,
Ngoi Phat,,Vietnam,72,Hydroelectric,Renewable,,,Northern Electricity Development Investment JSC 2 (NEDI 2),
Nhan Hac A,,Vietnam,55,Hydroelectric,Renewable,,,Za Hung JSC,
Nhan Hac B,,Vietnam,4,Hydroelectric,Renewable,,,Za Hung JSC,
Nho Que 1,,Vietnam,32,Hydroelectric,Renewable,,,Nho Que Hydropower JSC 1 (Bitexco),
Nho Que 2,,Vietnam,48,Hydroelectric,Renewable,,,Nho Que Investment and Power Development JSC (Bitexco),
